,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,355.0,361.0,342.0,347.0,310.0,368.0,345.0,340.0,382.0,326.0,327.0,337.0,359.0,334.0
1,334.0,328.0,387.0,338.0,388.0,335.0,331.0,343.0,362.0,354.0,347.0,338.0,331.0,317.0
2,361.0,336.0,327.0,345.0,331.0,356.0,365.0,334.0,347.0,342.0,324.0,346.0,345.0,374.0
3,370.0,326.0,361.0,369.0,348.0,322.0,347.0,357.0,341.0,349.0,318.0,322.0,358.0,345.0
4,360.0,339.0,331.0,350.0,369.0,348.0,355.0,353.0,339.0,358.0,312.0,340.0,367.0,312.0
5,359.0,352.0,334.0,329.0,367.0,343.0,303.0,349.0,351.0,359.0,328.0,360.0,353.0,346.0
6,373.0,375.0,343.0,327.0,305.0,386.0,362.0,328.0,324.0,359.0,357.0,339.0,314.0,341.0
7,348.0,339.0,334.0,364.0,327.0,326.0,337.0,337.0,355.0,349.0,326.0,392.0,359.0,340.0
8,371.0,354.0,344.0,333.0,342.0,344.0,365.0,353.0,307.0,351.0,336.0,350.0,349.0,334.0
9,377.0,329.0,352.0,334.0,333.0,360.0,334.0,317.0,347.0,367.0,365.0,341.0,319.0,358.0
