SCHOOL/FACILITY NAME,Capacity,Source
AVONWORTH HIGH SCHOOL,495,https://en.wikipedia.org/wiki/Avonworth_High_School 
BALDWIN HIGH SCHOOL,1453,https://en.wikipedia.org/wiki/Baldwin_High_School_(Pennsylvania) 
BETHEL PARK SR HIGH SCHOOL,1391,
BRASHEAR HIGH SCHOOL,1217,https://www.publicschoolreview.com/pittsburgh-brashear-high-school-profile
BRENTWOOD JR SR HIGH SCHOOL,371,
CARLYNTON SENIOR HIGH,613,
CARRICK HIGH SCHOOL,721,
CHARTIERS VALLEY SR HIGH,983,
CLAIRTON JR SR HIGH SCHOOL,390,
CORNELL JR/SR HIGH SCHOOL,268,
DEER LAKES SENIOR HIGH,570,"https://www.publicschoolreview.com/deer-lakes-high-school-profile#:~:text=Deer%20Lakes%20High%20School%20serves,the%202018%2D19%20school%20year. "
DUQUESNE CITY  SCHOOL (Elem),324,https://elementaryschools.org/directory/pa/cities/duquesne/duquesne-elementary-school/420801000924/ 
EAST ALLEGHENY JR SR HIGH,749,https://www.niche.com/k12/east-allegheny-junior-senior-high-school-north-versailles-pa/ 
ELIZABETH FORWARD SR HIGH,686,
FOX CHAPEL AREA HIGH SCHOOL,1333,
GATEWAY HIGH SCHOOL,1100,
HAMPTON HIGH SCHOOL,949,
HIGHLANDS HIGH SCHOOL,720,
KEYSTONE OAKS HIGH SCHOOL,571,
MCKEESPORT AREA HIGH SCHOOL,1005,
MONTOUR HIGH SCHOOL,928,
MOON AREA HIGH SCHOOL,1100,
MT. LEBANON HIGH SCHOOL,1792,
NORTH ALLEGHENY HIGH SCHOOL,2690,
NORTH HILLS SENIOR HIGH,1279,
NORTHGATE JR SR HIGH,463,
PENN HILLS SENIOR HIGH,1137,
PERRY HIGH SCHOOL,3573,
PINE RICHLAND HIGH SCHOOL,1463,
PITTBURGH OBAMA 6-12,851,
PITTSBURGH ALLDERDICE HIGH ,1483,
PLUM SENIOR HIGH SCHOOL,1162,
QUAKER VALLEY HIGH SCHOOL,629,
RIVERVIEW SENIOR HIGH SCHOOL,1157,
SHALER AREA HIGH SCHOOL,1296,
SOUTH ALLEGHENY HIGH SCHOOL,492,
SOUTH FAYETTE HIGH SCHOOL,1011,
SOUTH PARK SENIOR HIGH,584,
SPRINGDALE JR SR HIGH SCHOOL,400,
STEEL VALLEY SENIOR HIGH SCHOOL,471,
STO-ROX SR HIGH SCHOOL,520,
THOMAS JEFFERSON HIGH SCHOOL,1867,
UPPER ST CLAIR HIGH SCHOOL,1392,
WEST ALLEGHENY HIGH SCHOOL,1014,
WEST MIFFLIN AREA HIGH SCHOOL,956,
WILKINSBURG HIGH SCHOOL,113,
WOODLAND HILLS HIGH SCHOOL,1003,
,,
Map With All Sites,,
https://www.google.com/maps/d/edit?mid=zyGa5BQaEQPs.kfAmjuGJ5Udg&usp=sharing,,
